Symbol,Description,ISIN,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Exchange
SHRIRAMFIN,Shriram Finance Limited,INE721A01047,1087.3,INR,-0.2660062373876436,3516949,0.5113558113311923,2517654880371,INR,19.200070633939607,56.63,INR,10.003885003885015,1.00934579439252,Finance,NSE
TATASTEEL,Tata Steel Limited,INE081A01020,190.95,INR,-0.02617801047121014,22165429,1.0738613249737725,2360636020236,INR,21.58212396582124,8.8476,INR,143.126047649144,2.11528291909043,Non-energy minerals,NSE
TATASTEEL,Tata Steel Limited,INE081A01020,190.2,INR,0.5817028027498649,848677,0.8117462007249148,2360636020236,INR,21.497355214973553,8.8476,INR,143.126047649144,2.11528291909043,Non-energy minerals,BSE
HINDZINC,Hindustan Zinc Limited,INE267A01025,562.9,INR,2.906764168190124,5784368,1.7895879216193031,2307869206168,INR,13.935858903451654,40.3922,INR,66.63723823825477,2.01391431709996,Non-energy minerals,NSE
HINDZINC,Hindustan Zinc Limited,INE267A01025,563.2,INR,3.112413035518125,290040,1.4167816625349567,2307869206168,INR,13.94328607998574,40.3922,INR,66.63723823825477,2.01391431709996,Non-energy minerals,BSE
ADANIGREEN,Adani Green Energy Limited,INE364U01010,1384,INR,-0.7885304659498209,1825412,0.6112465409580039,2295834194760,INR,127.78490771602944,10.8307,INR,3.282315357841041,0,Utilities,NSE
ADANIGREEN,Adani Green Energy Limited,INE364U01010,1385,INR,-0.6313674845745412,106470,0.26300259692523853,2295834194760,INR,127.8772378516624,10.8307,INR,3.282315357841041,0,Utilities,BSE
HINDALCO,Hindalco Industries Limited,INE038A01020,1012.3,INR,2.252525252525248,802393,3.0079187225080846,2224754296875,INR,16.8156146179402,60.2,INR,-16.295884315906562,0.505050505050505,Non-energy minerals,BSE
HINDALCO,Hindalco Industries Limited,INE038A01020,1020,INR,2.5228666197607823,7690755,1.8093919964544027,2224754296875,INR,16.943521594684384,60.2,INR,-16.295884315906562,0.505050505050505,Non-energy minerals,NSE
DIVISLAB,Divi's Laboratories Limited,INE361B01024,8378,INR,-2.4111822947000583,970329,1.4967036638451288,2209454958279,INR,76.03748326639892,110.1825,INR,26.842939585772452,0.360453450440654,Health technology,NSE
DIVISLAB,Divi's Laboratories Limited,INE361B01024,8371,INR,0.5785277879572458,53740,1.6269712721801248,2209454958279,INR,75.97395230640075,110.1825,INR,26.842939585772452,0.360453450440654,Health technology,BSE
EICHERMOT,Eicher Motors Limited,INE066A01021,7935,INR,-1.4285714285714286,599769,0.9568344531810486,2195980224609.0002,INR,37.77312324463274,210.07,INR,19.26308618144658,1.025,Consumer durables,NSE
EICHERMOT,Eicher Motors Limited,INE066A01021,7910,INR,-1.125,17884,0.34497392055800746,2195980224609.0002,INR,37.6541152949017,210.07,INR,19.26308618144658,1.025,Consumer durables,BSE
GRASIM,Grasim Industries Ltd.,INE047A01021,3128,INR,-1.4803149606299213,33880,4.550460687135681,2160843298340.0002,INR,42.75642234815865,73.1586,INR,23.8511049639579,0.31496062992126,Non-energy minerals,BSE
GRASIM,Grasim Industries Ltd.,INE047A01021,3138,INR,-3.742331288343558,770936,2.090391589149454,2160843298340.0002,INR,42.893111677916195,73.1586,INR,23.8511049639579,0.31496062992126,Non-energy minerals,NSE
INDIGO,InterGlobe Aviation Ltd,INE646L01027,5330,INR,-1.0948227871590277,192253,3.3255550865928165,2083746282928,INR,,-124.338,INR,-171.76382315595058,0.185563184264242,Transportation,BSE
INDIGO,InterGlobe Aviation Ltd,INE646L01027,5358,INR,-0.7777777777777778,618644,0.5388850280930245,2083746282928,INR,,-124.338,INR,-171.76382315595058,0.185563184264242,Transportation,NSE
TVSMOTOR,TVS Motor Company Limited,INE494B01023,4360,INR,0.4376871688551025,123814,0.5969528952316667,2062353221283,INR,60.392746775706044,72.1941,INR,43.759968935750784,0.27643400138217,Consumer durables,BSE
TVSMOTOR,TVS Motor Company Limited,INE494B01023,4360,INR,-0.6607427660059239,1390832,0.6729808703734054,2062353221283,INR,60.392746775706044,72.1941,INR,43.759968935750784,0.27643400138217,Consumer durables,NSE
IOC,Indian Oil Corp. Ltd.,INE242A01010,142.7,INR,-0.10500525026251711,290627,0.3780893017042748,2017218974666,INR,5.839457875697706,24.4372,INR,99.33438830611614,7.00035001750088,Energy minerals,BSE
IOC,Indian Oil Corp. Ltd.,INE242A01010,141.6,INR,-1.4613778705636704,7539898,0.761021202125555,2017218974666,INR,5.794444535380485,24.4372,INR,99.33438830611614,7.00035001750088,Energy minerals,NSE
ADANIENSOL,Adani Energy Solutions Ltd,INE931S01010,1646,INR,-0.060716454159077116,845598,0.35014430236108623,1967700886963,INR,67.73662551440329,24.3,INR,21.81428084457902,0,Utilities,NSE
ADANIENSOL,Adani Energy Solutions Ltd,INE931S01010,1638.4,INR,0.02442002442002997,33918,0.30626756830702245,1967700886963,INR,67.42386831275721,24.3,INR,21.81428084457902,0,Utilities,BSE
SBILIFE,SBI Life Insurance Co. Ltd.,INE123W01016,1899,INR,-0.835509138381201,1516326,1.6044925444172173,1915325641028,INR,73.23817641183072,25.9291,INR,4.511523672097313,0.141427897962391,Finance,NSE
SBILIFE,SBI Life Insurance Co. Ltd.,INE123W01016,1865,INR,-2.3099890000523757,20176,0.2901293330303963,1915325641028,INR,71.92690837707441,25.9291,INR,4.511523672097313,0.141427897962391,Finance,BSE
TORNTPHARM,Torrent Pharmaceuticals Ltd,INE685A01028,5030,INR,0.21916716477385934,15961,0.2126735359290493,1908997970947,INR,78.05504820636328,64.4417,INR,8.94108140274002,0.75712293285515,Health technology,BSE
TORNTPHARM,Torrent Pharmaceuticals Ltd,INE685A01028,5030,INR,-0.39603960396039606,658560,1.1128621626526716,1908997970947,INR,78.05504820636328,64.4417,INR,8.94108140274002,0.75712293285515,Health technology,NSE
WIPRO,Wipro Limited,INE075A01022,187,INR,0,316218,0.33906912273700085,1850223471680,INR,14.839856521601117,12.6012,INR,-1.8391717884601935,5.88235294117647,Technology services,BSE
WIPRO,Wipro Limited,INE075A01022,186.3,INR,-1.250927594614643,11903457,0.6171098429264045,1850223471680,INR,14.784306256546996,12.6012,INR,-1.8391717884601935,5.88235294117647,Technology services,NSE
VAML,Vedanta Aluminium Metal Limited,INE1CDF01017,467.6,INR,1.6632242635069103,11199354,1.2763526611282758,1798778452148,INR,,,,,0,Non-energy minerals,NSE
VAML,Vedanta Aluminium Metal Limited,INE1CDF01017,467.2,INR,1.5652173913043455,893025,1.411273149249257,1798778452148,INR,,,,,0,Non-energy minerals,BSE
HYUNDAI,Hyundai Motor India Limited,INE0V6F01027,2192,INR,-0.6436406490798576,936675,8.855478924305237,1792628218309,INR,35.97500131295625,60.9312,INR,-10.305995822311333,0.95186293173783,Consumer durables,BSE
HYUNDAI,Hyundai Motor India Limited,INE0V6F01027,2220,INR,0.5890348889895787,760246,0.6389417572843945,1792628218309,INR,36.43453600126044,60.9312,INR,-10.305995822311333,0.95186293173783,Consumer durables,NSE
JIOFIN,Jio Financial Services Limited,INE758E01017,265,INR,0.7604562737642585,24776731,1.1427759308841687,1730023099609,INR,82.40305979663547,3.2159,INR,25.758642264977322,0.190839694656489,Finance,NSE
JIOFIN,Jio Financial Services Limited,INE758E01017,264.55,INR,0.9732824427480959,1412434,0.7948521562181164,1730023099609,INR,82.26313007245251,3.2159,INR,25.758642264977322,0.190839694656489,Finance,BSE
SOLARINDS,Solar Industries India Limited,INE343H01029,18788,INR,0.6967520634580341,2358,0.5837211605109417,1688363376587,INR,101.34584783019123,185.385,INR,38.70464518590842,0.0589559438310644,Process industries,BSE
SOLARINDS,Solar Industries India Limited,INE343H01029,18700,INR,0.21973310466798865,58255,0.7406112537821964,1688363376587,INR,100.87116001834022,185.385,INR,38.70464518590842,0.0589559438310644,Process industries,NSE
TMCV,Tata Motors Limited,INE1TAE01010,447.5,INR,-1.0940435407227294,521987,0.6816502877171263,1666237748324,INR,54.42052778791195,8.223,INR,,0.884075588462814,Consumer durables,BSE
TMCV,Tata Motors Limited,INE1TAE01010,446.75,INR,-1.270718232044199,5049283,0.6524386502996139,1666237748324,INR,54.32932019944059,8.223,INR,,0.884075588462814,Consumer durables,NSE
PIDILITIND,Pidilite Industries Limited,INE318A01026,1620,INR,-1.36986301369863,2924363,2.325791118187298,1656962779785,INR,67.4578388507183,24.015,INR,17.836113837095198,0.706388206388206,Process industries,NSE
PIDILITIND,Pidilite Industries Limited,INE318A01026,1620,INR,-0.4914004914004914,559896,3.329386880611579,1656962779785,INR,67.4578388507183,24.015,INR,17.836113837095198,0.706388206388206,Process industries,BSE
DLF,DLF Limited,INE271C01023,643.4,INR,-3.7618727095953894,7016514,2.4145205012392097,1641131540039,INR,35.82205890540616,17.961,INR,-0.8643528944231078,1.20663650075415,Finance,NSE
DLF,DLF Limited,INE271C01023,645,INR,-2.7149321266968327,626842,1.421122983741157,1641131540039,INR,35.91114080507767,17.961,INR,-0.8643528944231078,1.20663650075415,Finance,BSE
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,149.8,INR,-2.8534370946822163,3660584,4.989443422332078,1627438664081,INR,40.96365774289699,3.6569,INR,-11.420889448696837,0.389105058365759,Producer manufacturing,BSE
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,151,INR,-2.586929875491898,26900441,1.8613234495772357,1627438664081,INR,41.29180453389483,3.6569,INR,-11.420889448696837,0.389105058365759,Producer manufacturing,NSE
TRENT,Trent Limited,INE849A01020,3070,INR,1.1532125205930808,61016,1.3377973351926016,1618359659424,INR,95.19497916253225,32.2496,INR,11.180214158157117,0.131795716639209,Retail trade,BSE
TRENT,Trent Limited,INE849A01020,3107.7,INR,1.8918032786885186,1525660,2.153417936633622,1618359659424,INR,96.36398590990275,32.2496,INR,11.180214158157117,0.131795716639209,Retail trade,NSE
TECHM,Tech Mahindra Limited,INE669C01036,1648.5,INR,-0.030321406913280776,1978047,0.7135730343045151,1617139984131,INR,28.501037344398338,57.84,INR,12.990818519242051,3.09090909090909,Technology services,NSE
TECHM,Tech Mahindra Limited,INE669C01036,1639.95,INR,-0.6090909090909064,1811048,11.65611572652169,1617139984131,INR,28.353215767634854,57.84,INR,12.990818519242051,3.09090909090909,Technology services,BSE
ABB,ABB India Limited,INE117A01022,7740,INR,2.380952380952381,49044,2.5412715684750515,1602027284546,INR,54.894862862135874,140.9968,INR,66.43212189245882,0.520634920634921,Producer manufacturing,BSE
ABB,ABB India Limited,INE117A01022,7700,INR,1.3024602026049203,718380,1.728231828161244,1602027284546,INR,54.61116848041941,140.9968,INR,66.43212189245882,0.520634920634921,Producer manufacturing,NSE
CHOLAFIN,Cholamandalam Investment and Finance Co. Ltd.,INE121A01024,1872,INR,-0.26638252530633993,682590,4.351748311489268,1600439332703,INR,27.659574468085104,67.68,INR,28.08478425435277,0.106553010122536,Finance,BSE
CHOLAFIN,Cholamandalam Investment and Finance Co. Ltd.,INE121A01024,1875,INR,-0.6990784874483659,1345656,0.6689256882126737,1600439332703,INR,27.703900709219855,67.68,INR,28.08478425435277,0.106553010122536,Finance,NSE
